Z1 , Z2,Z1+Z2
(2.31+7.96j),(1.23+6.96j),(3.54+14.92j)
(4.44+2.5j),(2.38+4.31j),(6.82+6.81j)
(3.59+9.35j),(2.65+8.01j),(6.24+17.36j)
(3.87+4.37j),(9.48+1.2j),(13.350000000000001+5.57j)
(4.24+8.94j),(7.75+9.03j),(11.99+17.97j)
(9.89+2.86j),(8.45+1.43j),(18.34+4.29j)
(2.57+3.32j),(2.61+5.78j),(5.18+9.1j)
(1.04+2.02j),(0.31+2.2j),(1.35+4.220000000000001j)
(6.86+6.3j),(6.43+3.67j),(13.29+9.969999999999999j)
(6.48+8.44j),(3.17+7.49j),(9.65+15.93j)
(1.25+2.73j),(8.63+4.16j),(9.88+6.890000000000001j)
(6.8+3.48j),(9.79+9.57j),(16.59+13.05j)
(8.14+7.05j),(1.89+3.07j),(10.030000000000001+10.12j)
(9.05+5.27j),(6.14+7.15j),(15.190000000000001+12.42j)
(3.08+8.97j),(4.49+4.95j),(7.57+13.920000000000002j)
(0.29+0.26j),(8.66+3.98j),(8.95+4.24j)
(9.85+6.62j),(5.18+8.53j),(15.03+15.149999999999999j)
(5.79+2.03j),(3.83+7.23j),(9.620000000000001+9.26j)
(5.59+2.21j),(1.74+0.34j),(7.33+2.55j)
(6.75+7.02j),(4.36+2.79j),(11.11+9.809999999999999j)
(9.15+7.5j),(0.13+8.5j),(9.280000000000001+16j)
(4.92+9.48j),(0.83+9.81j),(5.75+19.29j)
(8.47+2.08j),(7.06+1.78j),(15.530000000000001+3.8600000000000003j)
(3.06+2.67j),(1.14+9.1j),(4.2+11.77j)
(4.7+3.58j),(6.17+9.46j),(10.870000000000001+13.040000000000001j)
(3.04+6.56j),(6.63+6.37j),(9.67+12.93j)
(8.98+7.34j),(6.56+5.08j),(15.54+12.42j)
(0.12+1.13j),(2.8+7.24j),(2.92+8.370000000000001j)
(1.04+6.13j),(0.73+9.62j),(1.77+15.75j)
(9.79+3.77j),(2.69+1.47j),(12.479999999999999+5.24j)
(6.31+7.53j),(6.33+7.39j),(12.64+14.92j)
(5.2+1.94j),(5.97+4.24j),(11.17+6.18j)
(8.71+9.58j),(3.2+9.48j),(11.91+19.060000000000002j)
(0.18+4.01j),(5.17+3.92j),(5.35+7.93j)
(6.13+5.8j),(3.56+9.4j),(9.69+15.2j)
(5.94+8.68j),(6.7+4.63j),(12.64+13.309999999999999j)
(6.49+1.34j),(4.25+8.71j),(10.74+10.05j)
(8.91+6.5j),(2.17+0.1j),(11.08+6.6j)
(6.54+5.25j),(9.01+4.94j),(15.55+10.190000000000001j)
(3.92+0.34j),(9.7+5.46j),(13.62+5.8j)
(1.87+1.21j),(5.65+5.89j),(7.5200000000000005+7.1j)
(9.71+8.65j),(1.6+1.1j),(11.31+9.75j)
(7.75+1.09j),(6.94+3.23j),(14.690000000000001+4.32j)
(5.34+4.74j),(4.14+4.94j),(9.48+9.68j)
(4.23+8.75j),(0.77+3.57j),(5+12.32j)
(6.27+2.22j),(5.74+1.72j),(12.01+3.9400000000000004j)
(8.39+0.39j),(1.83+4.17j),(10.22+4.56j)
(5.3+8.9j),(6.06+8.96j),(11.36+17.86j)
(0.12+8.95j),(9.38+5.16j),(9.5+14.11j)
(3.21+6.84j),(2.27+5.78j),(5.48+12.620000000000001j)
(4.6+9.72j),(4.87+6.35j),(9.469999999999999+16.07j)
(5.81+5.26j),(1.94+0.3j),(7.75+5.56j)
(2.95+2.58j),(4.19+2.12j),(7.140000000000001+4.7j)
(4.43+3.12j),(7.06+6.28j),(11.489999999999998+9.4j)
(5.93+9.26j),(2.26+7.26j),(8.19+16.52j)
(7.33+9.81j),(2.96+3.92j),(10.29+13.73j)
(0.61+0.09j),(3.77+1.24j),(4.38+1.33j)
(5.22+2.4j),(0.52+8.15j),(5.74+10.55j)
(1.8+2.92j),(1.51+0.52j),(3.31+3.44j)
(9.73+6.77j),(4.17+6.26j),(13.9+13.03j)
(4.65+2.61j),(7.39+8.49j),(12.04+11.1j)
(0.07+7.19j),(4.3+3.76j),(4.37+10.95j)
(8.25+5.81j),(3.27+6.59j),(11.52+12.399999999999999j)
(4.97+1.93j),(2.25+8.29j),(7.22+10.219999999999999j)
(8.22+3.48j),(5.53+8.79j),(13.75+12.27j)
(4.68+2.27j),(4.24+4.31j),(8.92+6.58j)
(2.77+4.06j),(5+2.72j),(7.77+6.779999999999999j)
(6.01+9.3j),(6.98+0.77j),(12.99+10.07j)
(5.49+2.94j),(1.27+6.52j),(6.76+9.459999999999999j)
(0.59+5.77j),(6.7+1.51j),(7.29+7.279999999999999j)
(2.24+0.84j),(0.2+0.15j),(2.4400000000000004+0.99j)
(2.19+1.77j),(6.95+8.95j),(9.14+10.719999999999999j)
(6.64+6j),(1.18+1.17j),(7.819999999999999+7.17j)
(7.23+6.17j),(7.54+5.68j),(14.77+11.85j)
